id,name,kind
Gene::9021,SOCS3,Gene
Gene::19,ABCA1,Gene
Gene::3176,HNMT,Gene
Gene::3039,HBA1,Gene
Gene::5962,RDX,Gene
Gene::841,CASP8,Gene
Gene::6924,TCEB3,Gene
Gene::7407,VARS,Gene
Gene::9370,ADIPOQ,Gene
Gene::583,BBS2,Gene
Gene::7101,NR2E1,Gene
Gene::8741,TNFSF13,Gene
Gene::5714,PSMD8,Gene
Gene::84148,KAT8,Gene
Gene::53371,NUP54,Gene
Gene::2011,MARK2,Gene
Gene::3670,ISL1,Gene
Gene::10908,PNPLA6,Gene
Gene::5684,PSMA3,Gene
Gene::8204,NRIP1,Gene
Gene::4040,LRP6,Gene
Gene::1812,DRD1,Gene
Gene::3198,HOXA1,Gene
Gene::1621,DBH,Gene
Gene::54900,LAX1,Gene
Gene::4322,MMP13,Gene
Gene::6156,RPL30,Gene
Gene::7424,VEGFC,Gene
Gene::142,PARP1,Gene
Gene::3269,HRH1,Gene
Gene::8660,IRS2,Gene
Gene::8776,MTMR1,Gene
Gene::1740,DLG2,Gene
Gene::3398,ID2,Gene
Gene::54927,CHCHD3,Gene
Gene::5728,PTEN,Gene
Gene::7546,ZIC2,Gene
Gene::6098,ROS1,Gene
Gene::10318,TNIP1,Gene
Gene::23171,GPD1L,Gene
Gene::2235,FECH,Gene
Gene::196527,ANO6,Gene
Gene::7298,TYMS,Gene
Gene::1499,CTNNB1,Gene
Gene::4141,MARS,Gene
Gene::4878,NPPA,Gene
Gene::3214,HOXB4,Gene
Gene::2099,ESR1,Gene
Gene::2248,FGF3,Gene
Gene::10673,TNFSF13B,Gene
Gene::9020,MAP3K14,Gene
Gene::6885,MAP3K7,Gene
Gene::64065,PERP,Gene
Gene::5935,RBM3,Gene
Gene::345,APOC3,Gene
Gene::100,ADA,Gene
Gene::51138,COPS4,Gene
Gene::10013,HDAC6,Gene
Gene::3553,IL1B,Gene
Gene::4706,NDUFAB1,Gene
Gene::4843,NOS2,Gene
Gene::658,BMPR1B,Gene
Gene::25833,POU2F3,Gene
Gene::1385,CREB1,Gene
Gene::301,ANXA1,Gene
Gene::6714,SRC,Gene
Gene::259236,TMIE,Gene
Gene::5829,PXN,Gene
Gene::9378,NRXN1,Gene
Gene::7249,TSC2,Gene
Gene::4756,NEO1,Gene
Gene::5105,PCK1,Gene
Gene::3400,ID4,Gene
Gene::55120,FANCL,Gene
Gene::56171,DNAH7,Gene
Gene::8633,UNC5C,Gene
Gene::3300,DNAJB2,Gene
Gene::5467,PPARD,Gene
Gene::375611,SLC26A5,Gene
Gene::9788,MTSS1,Gene
Gene::51363,CHST15,Gene
Gene::27231,NMRK2,Gene
Gene::3913,LAMB2,Gene
Gene::158067,AK8,Gene
Gene::79866,BORA,Gene
Gene::9818,NUPL1,Gene
Gene::5715,PSMD9,Gene
Gene::10888,GPR83,Gene
Gene::3976,LIF,Gene
Gene::25831,HECTD1,Gene
Gene::183,AGT,Gene
Gene::1029,CDKN2A,Gene
Gene::51704,GPRC5B,Gene
Gene::9480,ONECUT2,Gene
Gene::85378,TUBGCP6,Gene
Gene::23305,ACSL6,Gene
Gene::10999,SLC27A4,Gene
Gene::2027,ENO3,Gene
Gene::2066,ERBB4,Gene
Gene::596,BCL2,Gene
Gene::5027,P2RX7,Gene
Gene::581,BAX,Gene
Gene::5981,RFC1,Gene
Gene::3725,JUN,Gene
Gene::125111,GJD3,Gene
Gene::163126,EID2,Gene
Gene::4287,ATXN3,Gene
Gene::10059,DNM1L,Gene
Gene::4917,NTN3,Gene
Gene::472,ATM,Gene
Gene::1540,CYLD,Gene
Gene::4647,MYO7A,Gene
Gene::27102,EIF2AK1,Gene
Gene::4323,MMP14,Gene
Gene::348,APOE,Gene
Gene::3654,IRAK1,Gene
Gene::7080,NKX2-1,Gene
Gene::6195,RPS6KA1,Gene
Gene::23165,NUP205,Gene
Gene::6690,SPINK1,Gene
Gene::6092,ROBO2,Gene
Gene::6776,STAT5A,Gene
Gene::2302,FOXJ1,Gene
Gene::191,AHCY,Gene
Gene::2950,GSTP1,Gene
Gene::64798,DEPTOR,Gene
Gene::6133,RPL9,Gene
Gene::5702,PSMC3,Gene
Gene::140706,CCM2L,Gene
Gene::8543,LMO4,Gene
Gene::10165,SLC25A13,Gene
Gene::5563,PRKAA2,Gene
Gene::130497,OSR1,Gene
Gene::7031,TFF1,Gene
Gene::4486,MST1R,Gene
Gene::9907,AP5Z1,Gene
Gene::23129,PLXND1,Gene
Gene::51208,CLDN18,Gene
Gene::7481,WNT11,Gene
Gene::23168,RTF1,Gene
Gene::4914,NTRK1,Gene
Gene::4131,MAP1B,Gene
Gene::4929,NR4A2,Gene
Gene::9156,EXO1,Gene
Gene::1032,CDKN2D,Gene
Gene::23550,PSD4,Gene
Gene::147183,KRT25,Gene
Gene::79582,SPAG16,Gene
Gene::1452,CSNK1A1,Gene
Gene::3911,LAMA5,Gene
Gene::51022,GLRX2,Gene
Gene::4160,MC4R,Gene
Gene::353238,PADI6,Gene
Gene::207,AKT1,Gene
Gene::23524,SRRM2,Gene
Gene::9170,LPAR2,Gene
Gene::6688,SPI1,Gene
Gene::5076,PAX2,Gene
Gene::10006,ABI1,Gene
Gene::6011,GRK1,Gene
Gene::3479,IGF1,Gene
Gene::6886,TAL1,Gene
Gene::1435,CSF1,Gene
Gene::404672,GTF2H5,Gene
Gene::7157,TP53,Gene
Gene::6683,SPAST,Gene
Gene::567,B2M,Gene
Gene::5976,UPF1,Gene
Gene::6129,RPL7,Gene
Gene::390243,IZUMO1R,Gene
Gene::6814,STXBP3,Gene
Gene::7423,VEGFB,Gene
Gene::650,BMP2,Gene
Gene::10202,DHRS2,Gene
Gene::331,XIAP,Gene
Gene::501,ALDH7A1,Gene
Gene::8128,ST8SIA2,Gene
Gene::2784,GNB3,Gene
Gene::2064,ERBB2,Gene
Gene::5771,PTPN2,Gene
Gene::7355,SLC35A2,Gene
Gene::6850,SYK,Gene
Gene::5230,PGK1,Gene
Gene::652,BMP4,Gene
Gene::124935,SLC43A2,Gene
Gene::1944,EFNA3,Gene
Gene::167826,OLIG3,Gene
Gene::6934,TCF7L2,Gene
Gene::94,ACVRL1,Gene
Gene::230,ALDOC,Gene
Gene::3280,HES1,Gene
Gene::5300,PIN1,Gene
Gene::7477,WNT7B,Gene
Gene::10111,RAD50,Gene
Gene::9283,GPR37L1,Gene
Gene::10181,RBM5,Gene
Gene::2637,GBX2,Gene
Gene::5319,PLA2G1B,Gene
Gene::4656,MYOG,Gene
Gene::5457,POU4F1,Gene
Gene::7311,UBA52,Gene
Gene::9447,AIM2,Gene
Gene::6304,SATB1,Gene
Gene::3417,IDH1,Gene
Gene::4223,MEOX2,Gene
Gene::3620,IDO1,Gene
Gene::1021,CDK6,Gene
Gene::55823,VPS11,Gene
Gene::29978,UBQLN2,Gene
Gene::3784,KCNQ1,Gene
Gene::3315,HSPB1,Gene
Gene::5063,PAK3,Gene
Gene::27040,LAT,Gene
Gene::2305,FOXM1,Gene
Gene::579,NKX3-2,Gene
Gene::392255,GDF6,Gene
Gene::7358,UGDH,Gene
Gene::1861,TOR1A,Gene
Gene::5696,PSMB8,Gene
Gene::5764,PTN,Gene
Gene::7473,WNT3,Gene
Gene::1992,SERPINB1,Gene
